Country Name,GDP at market prices (constant 2005 US$),GDP at market prices (current US$),GDP per capita (constant 2005 US$),GDP per capita (current US$),Internet users (per 100 people),Population growth (annual %),"Population, total"
Djibouti,1128611700.3618,1128611700.3618,1325.99072352076,1325.99072352076,6.5,1.6950783409916002,851146.0
Dominica,493824407.40740705,493824407.40740705,6912.43571398947,6912.43571398947,47.45,0.295789770502838,71440.0
Dominican Republic,53954579003.5277,53954579003.5277,5451.06695994465,5451.06695994465,31.4,1.3244239344148798,9897985.0
East Asia & Pacific,16938756587419.1,16938756587419.1,7679.83420346662,7679.83420346662,34.2308383100865,0.675723907535811,2205614879.0
East Asia & Pacific (excluding high income),7879326684925.74,7879326684925.74,4010.46489991997,4010.46489991997,28.9575716226662,0.7137430547845159,1964691596.0
Ecuador,69555367000.0,69555367000.0,4657.3023611471,4657.3023611471,29.03,1.64329146840027,14934690.0
"Egypt, Arab Rep.",218888324504.75302,218888324504.75302,2602.47954869567,2602.47954869567,21.6,1.97227751619681,84107606.0
El Salvador,21418330000.0,21418330000.0,3474.3924448944704,3474.3924448944704,15.9,0.444647422190366,6164626.0
Equatorial Guinea,16298542027.9965,16298542027.9965,17136.4456757583,17136.4456757583,6.0,4.515621620249349,951104.0
Eritrea,2117039512.1951199,2117039512.1951199,482.1490904235,482.1490904235,0.61,1.8505157434040298,4390840.0
Estonia,19490936349.1753,19490936349.1753,14638.6048173457,14638.6048173457,74.1,-0.22805796852935,1331475.0
Ethiopia,29933790334.3418,29933790334.3418,341.309909200504,341.309909200504,0.75,2.64159447665885,87702670.0
Euro area,12645252803081.6,12645252803081.6,37617.7217506207,37617.7217506207,71.0367223917875,0.235743651286313,336151479.0
Europe & Central Asia,20924691161658.7,20924691161658.7,23536.905927455202,23536.905927455202,56.1191173283575,0.38669378078731104,889016221.0
Europe & Central Asia (excluding high income),3156255418573.9,3156255418573.9,7822.76250917472,7822.76250917472,35.884480701960605,0.49760388713014,403470694.0
European Union,14965720352093.2,16934782699535.5,29656.707255394304,33558.6848569969,70.6308959645273,0.24305437706119898,504631894.0
Faroe Islands,2301168186.90991,2301168186.90991,47397.9029229641,47397.9029229641,75.2,0.0679942746172886,48550.0
Fiji,3140508835.9485,3140508835.9485,3651.9667840554603,3651.9667840554603,20.0,0.9326454337670469,859950.0
Finland,247799815768.477,247799815768.477,46202.4151628454,46202.4151628454,86.89,0.457494535465831,5363352.0
France,2646837111794.78,2646837111794.78,40703.3427911985,40703.3427911985,77.28,0.4940374587831121,65027512.0
French Polynesia,,,,,49.0,0.8395234168551721,267820.0
Gabon,14358585195.7591,14358585195.7591,8754.113921850949,8754.113921850949,13.0,3.3133862341780196,1640210.0
"Gambia, The",951804226.881426,951804226.881426,562.482515949497,562.482515949497,9.2,3.15714056163095,1692149.0
Georgia,11638536834.4274,11638536834.4274,2964.47703373088,2964.47703373088,26.9,-1.31580845775111,3926000.0
Germany,3417094562648.95,3417094562648.95,41785.556912554,41785.556912554,82.0,-0.153198446937304,81776930.0
Ghana,32174772955.9748,32174772955.9748,1312.6075573102498,1312.6075573102498,7.8,2.5128297390061203,24512104.0
Gibraltar,,,,,65.0,0.704515726753998,33189.0
Greece,299361576558.217,299361576558.217,26917.7589787254,26917.7589787254,44.4,0.128880432668041,11121341.0
Greenland,2306502373.71313,2306502373.71313,40532.508104966604,40532.508104966604,63.0,1.02802332572502,56905.0
Grenada,771015888.888889,771015888.888889,7365.6666592364,7365.6666592364,27.0,0.36464081212136795,104677.0
Guam,4895000000.0,4895000000.0,30700.4340081784,30700.4340081784,54.04,0.133678532498092,159444.0
Guatemala,41338595380.8159,41338595380.8159,2825.52406953376,2825.52406953376,10.5,2.1710395705368,14630417.0
Guinea,6861546075.83455,6861546075.83455,635.671485240139,635.671485240139,1.0,2.22621161386768,10794170.0
Guinea-Bissau,850633309.814482,850633309.814482,546.721668646992,546.721668646992,2.45,2.5011325481547404,1555880.0
Guyana,2273225041.96217,2273225041.96217,3044.9491290166698,3044.9491290166698,29.9,0.115664355776001,746556.0
Haiti,6622541528.56888,6622541528.56888,662.279518162433,662.279518162433,8.37,1.47840089583663,9999617.0
Heavily indebted poor countries (HIPC),467851910947.034,467851910947.034,742.4718941249749,742.4718941249749,4.929978865243281,2.83907573196774,630127436.0
High income,45206818210523.2,45206818210523.2,39326.9754857519,39326.9754857519,72.2804139793796,0.659063482889749,1149511694.0
